ID,SALER,CODE,PRICE,CURRENCY,REFERENCE NUMBER,TIME
1,klook,135459596254238,500.00,FJD,3049a50fed3640dc586c30f8682eb50e,2020-03-12T14:52:13.64Z
2,klook,764270129951021,500.00,FJD,7bd77ccb3e2f400a5500e19632f839a7,2020-03-12T14:52:13.64Z
3,klook,580975766665252,500.00,FJD,353dbfc353754c74501324382593d3cc,2020-03-12T14:52:13.64Z
4,klook,838939345334813,500.00,FJD,18df09a4bbb548526c674c0f2544e873,2020-03-12T14:52:13.64Z
5,klook,925718870499573,500.00,FJD,a301bc8aa0d64fd24ca0a100ca7901f1,2020-03-12T14:52:13.64Z
6,klook,515644109264634,500.00,FJD,9462bce0940b4b735d6515678fe7eb9a,2020-03-12T14:52:13.64Z
7,klook,520644606658562,500.00,FJD,7e605e17a3e548e05814fac2fd9d0bc2,2020-03-12T14:52:13.64Z
8,klook,993666529903228,500.00,FJD,fae117fc6ba34d82588c6e16029d5976,2020-03-12T14:52:13.64Z
9,klook,738724221757436,500.00,FJD,65e4b92e708c45767bf14f9cf77ce85c,2020-03-12T14:52:13.64Z
10,klook,639982687262984,500.00,FJD,4e14a187bdc64fa9516488e09aad2abe,2020-03-12T14:52:13.64Z
11,klook,965865382863771,500.00,FJD,3fcf017ea4db4c1b5c8fa4139f49f98c,2020-03-12T14:52:13.64Z
12,klook,163976584681214,500.00,FJD,bf454db74ba54b8c7b9a1b2655ad5528,2020-03-12T14:52:13.64Z
13,klook,843337749025432,500.00,FJD,8f6194417f644795602de4741b0534de,2020-03-12T14:52:13.64Z
14,klook,660470317582613,500.00,FJD,d62a0f97ca44407c6d6391c7a35bcf4d,2020-03-12T14:52:13.64Z
15,klook,149956550744054,500.00,FJD,383b4bbcb21547cc4db63d6bec90379e,2020-03-12T14:52:13.64Z
16,klook,147001999110350,500.00,FJD,267ca9193f8148664b71563b4ceb56e9,2020-03-12T14:52:13.64Z
17,klook,781497290904232,500.00,FJD,838a8294d0b741a74e3b28cc5f548d1f,2020-03-12T14:52:13.64Z
18,klook,784131383777516,500.00,FJD,b0040f14bdd940f5416d61680dde9a1b,2020-03-12T14:52:13.64Z
19,klook,641649378994554,500.00,FJD,cd13cffbdf17445373c6f2b6ad6cabe8,2020-03-12T14:52:13.64Z
20,klook,245515467976220,500.00,FJD,c97792fda9cd49a65f080e28af882702,2020-03-12T14:52:13.64Z
21,klook,679220138698733,500.00,FJD,e4a4cc258b3a416f7c42e9997d045973,2020-03-12T14:52:13.64Z
22,klook,446640687425104,500.00,FJD,0d3c7cdaca1a4afe5bdd96e62771ed38,2020-03-12T14:52:13.64Z
23,klook,809355732324184,500.00,FJD,674e104da2574e76599c010534157f72,2020-03-12T14:52:13.64Z
24,klook,252041585382521,500.00,FJD,64922ab74e4c4cf3438755d84c9b4072,2020-03-12T14:52:13.64Z
25,klook,140090999221234,500.00,FJD,f59fa38f639049f56464a4e15bd86f23,2020-03-12T14:52:13.64Z
26,klook,584905902992843,500.00,FJD,eafb69923e0242c06482c0d8bd29bcf0,2020-03-12T14:52:13.64Z
27,klook,976113679971369,500.00,FJD,e7ddd9c59808475368ec6ffb67616034,2020-03-12T14:52:13.64Z
28,klook,997417336408088,500.00,FJD,5a58ac11f46847627880e9d94b2043b3,2020-03-12T14:52:13.64Z
29,klook,414764695803633,500.00,FJD,cc5e3a13143f4b6d66e0649f2633ad2a,2020-03-12T14:52:13.64Z
30,klook,491373753737626,500.00,FJD,cea8fab4383f454c7ef26bc341cdab30,2020-03-12T14:52:13.64Z
31,klook,284582062114461,500.00,FJD,c354aa1a2e70442c5e2fd4c02e550276,2020-03-12T14:52:13.64Z
32,klook,273092993740581,500.00,FJD,816a6f9ba40348ce5e81c298f0f154e0,2020-03-12T14:52:13.64Z
33,klook,804368789081837,500.00,FJD,664ba8c4c5164d9857557ceab63d0fb0,2020-03-12T14:52:13.64Z
34,klook,630405894279039,500.00,FJD,5c129f6353ca44f66c9fae19949f4330,2020-03-12T14:52:13.64Z
35,klook,226815415271769,500.00,FJD,9f4d01c32f62409b474fc1f7ff362bdf,2020-03-12T14:52:13.64Z
36,klook,764467230250023,500.00,FJD,55fd20d5cad84fa76b328c0f4a043fe2,2020-03-12T14:52:13.64Z
37,klook,940594766807773,500.00,FJD,19defc572ff64bfe4ca5a55dcb7565e0,2020-03-12T14:52:13.64Z
38,klook,773268598425131,500.00,FJD,f5f124e7ddc14e214157e74824268a3d,2020-03-12T14:52:13.64Z
39,klook,688321323323764,500.00,FJD,8e9c75298c31448c554c31d116c6364d,2020-03-12T14:52:13.64Z
40,klook,380385339444820,500.00,FJD,5327e113b0d444e3476b49e5ce8c7ad1,2020-03-12T14:52:13.64Z
41,klook,126279063726374,500.00,FJD,f474f058b70b4c3a474659e268e17859,2020-03-12T14:52:13.64Z
42,klook,113655066832923,500.00,FJD,7040f06c038942cb59337363122267bf,2020-03-12T14:52:13.64Z
43,klook,896469573740497,500.00,FJD,f011fc704e8944ef4e1b560c22897ffd,2020-03-12T14:52:13.64Z
44,klook,983514768739336,500.00,FJD,3fb6b85eab6548c76649b62316d724db,2020-03-12T14:52:13.64Z
45,klook,157033634949830,500.00,FJD,df9b6e3976034ec171f8cb442b866d39,2020-03-12T14:52:13.64Z
46,klook,242707494004035,500.00,FJD,2b45a0cd226e46984197ef9106addfc2,2020-03-12T14:52:13.64Z
47,klook,343650691047754,500.00,FJD,3b40bf916e3b4bb0740be2e29078caa3,2020-03-12T14:52:13.64Z
48,klook,110684381070044,500.00,FJD,6fae6244f605450979f5fd8b087206e4,2020-03-12T14:52:13.64Z
49,klook,126279214248391,500.00,FJD,bb3f78d1faf743a14659c66ec4e5d69d,2020-03-12T14:52:13.64Z
50,klook,524396387691726,500.00,FJD,4990f9c104134bde43d92d5d5b1c3377,2020-03-12T14:52:13.64Z
